"","Sport_ID","School_ID","Graduation_Year","Player","URL","player_imageurl","ID_Race","Position","Hometown","Height_Inches","Weight","Height_Numeric","High_School","CIP_Family","CIP_ID","CIPFamilyTitle","CIP_Code","CIPTitle","Stated_Major","Actual_Major","Aspiration","Departed_Program","Transfer","Quit","Injured","Dismissed","Jailed","Death","Last_Name","First_Name","City","State","Longitude","Latitude"
"363","FBALL","OKSTATE",2009,"Marcus Richardson","http://www.okstate.com/sports/m-footbl/spec-rel/121007aaa.html",NA,"AA","LB","Seguin, TX",73,220,6.083,"Seguin High School",52,"BUSINESS.MANAGEMENT.MARKETING","Business, Management, Marketing, and Related Support Services",52.0101,"Business/Commerce, General.","General Business","FALSE","",TRUE,NA,NA,NA,TRUE,TRUE,NA,"Richardson","Marcus","Seguin","TX",-97.9647269,29.5688411
"364","FBALL","OKSTATE",2008,"Marcus Brown","http://www.okstate.com/sports/m-footbl/spec-rel/121007aaa.html",NA,"AA","LB","Hephzibah, GA",74,240,6.167,"Hephzibah High School",45,"SOCIAL.SCIENCE","Social Sciences",45.0601,"Economics, General.","Economics","","",NA,NA,NA,NA,NA,NA,NA,"Brown","Marcus","Hephzibah","GA",-82.0967857,33.3140311
"365","FBALL","OKSTATE",2009,"Steven Mocco","http://www.okstate.com/sports/m-wrestl/spec-rel/100605aab.html",NA,"C","DT","Blairstown, NJ",73,295,6.083,"Blair Academy",13,"EDUCATION","Education",13.0101,"Education, General.","Education","","",NA,NA,NA,NA,NA,NA,NA,"Mocco","Steven","Blairstown","NJ",-74.9589405,40.9831018
"366","FBALL","OKSTATE",NA,"Al Pena",NA,NA,NA,NA,NA,75,225,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","FBALL","OKSTATE",NA,"John Toben",NA,NA,NA,NA,NA,73,235,6.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","FBALL","OKSTATE",NA,"Allen Oh",NA,NA,NA,NA,NA,73,290,6.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","FBALL","OKSTATE",NA,"Doug Woodford",NA,NA,NA,NA,NA,73,215,6.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","FBALL","OKSTATE",NA,"Eddie Cameron",NA,NA,NA,NA,NA,71,175,5.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","FBALL","OKSTATE",NA,"Elliott Goudge",NA,NA,NA,NA,NA,73,195,6.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","FBALL","OKSTATE",NA,"Andrew Smith",NA,NA,NA,NA,NA,73,254,6.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","FBALL","OKSTATE",NA,"Beau Bentley",NA,NA,NA,NA,NA,70,205,5.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","FBALL","OKSTATE",NA,"Grant Jones",NA,NA,NA,NA,NA,70,195,5.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
